% Model,薄膜计算.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 23 2026, 09:51"
% Table,表格 1 - 反射率、透射率和吸收率 (ewfd)
% lambda0 (m),theta (rad),d,n1_B,freq (THz),反射率，端口 1 (1),总反射率 (1),theta (rad),n1_A,n1_B,n1_C,n2_A,n2_B,n2_C
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,1.000000000000000E-3,6.662054622222222E2,7.520812537683020E-1∠0.000000000000000E0°,7.520812537683020E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,2.000000000000000E-3,6.662054622222222E2,7.396787151161940E-1∠0.000000000000000E0°,7.396787151161940E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,3.000000000000000E-3,6.662054622222222E2,7.277197131958528E-1∠0.000000000000000E0°,7.277197131958528E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,4.000000000000000E-3,6.662054622222222E2,7.161959280505324E-1∠0.000000000000000E0°,7.161959280505324E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,5.000000000000000E-3,6.662054622222222E2,7.050970837576948E-1∠0.000000000000000E0°,7.050970837576948E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,6.000000000000000E-3,6.662054622222222E2,6.944118162283216E-1∠0.000000000000000E0°,6.944118162283216E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,6.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,7.000000000000000E-3,6.662054622222222E2,6.841285445027778E-1∠0.000000000000000E0°,6.841285445027778E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,7.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,8.000000000000000E-3,6.662054622222222E2,6.742365244622601E-1∠0.000000000000000E0°,6.742365244622601E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,8.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,9.000000000000001E-3,6.662054622222222E2,6.647274638353066E-1∠0.000000000000000E0°,6.647274638353066E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,9.000000000000001E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.500000000000000E-7,1.396263401595464E0,1.000000000000000E-7,1.000000000000000E-2,6.662054622222222E2,6.555986578281829E-1∠0.000000000000000E0°,6.555986578281829E-1∠0.000000000000000E0°,1.396263401595464E0∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-2∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,0.000000000000000E0,6.588845230769230E2,1.427685069565501E-2∠0.000000000000000E0°,1.427685069565501E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,1.000000000000000E-3,6.588845230769230E2,1.492933586697338E-2∠0.000000000000000E0°,1.492933586697338E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,1.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,2.000000000000000E-3,6.588845230769230E2,1.559821194312197E-2∠0.000000000000000E0°,1.559821194312197E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,2.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,3.000000000000000E-3,6.588845230769230E2,1.628266000267238E-2∠0.000000000000000E0°,1.628266000267238E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,3.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,4.000000000000000E-3,6.588845230769230E2,1.698181192174003E-2∠0.000000000000000E0°,1.698181192174003E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,4.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,5.000000000000000E-3,6.588845230769230E2,1.769474394834197E-2∠0.000000000000000E0°,1.769474394834197E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,5.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,6.000000000000000E-3,6.588845230769230E2,1.842046910777086E-2∠0.000000000000000E0°,1.842046910777086E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,6.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,7.000000000000000E-3,6.588845230769230E2,1.915792818325088E-2∠0.000000000000000E0°,1.915792818325088E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,7.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
4.550000000000000E-7,1.745329251994330E-1,8.000000000000000E-8,8.000000000000000E-3,6.588845230769230E2,1.990597895218657E-2∠0.000000000000000E0°,1.990597895218657E-2∠0.000000000000000E0°,1.745329251994330E-1∠0.000000000000000E0°,1.380000000000000E0∠0.000000000000000E0°,8.000000000000000E-3∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,1.520000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°,0.000000000000000E0∠0.000000000000000E0°
